filename,section_name,llm_annotation
03biz-tariffs-global-01-lgwv-articleLarge.jpg,Business,The image depicts a store interior with various products on shelves and a person browsing through a magazine
24Apple-Investment-hkjm-articleLarge.jpg,World,"The image depicts a crowded street scene with people holding banners and signs, suggesting a protest or demonstration related to global issues"
02biz-appletariffs-hfo-1-jpwl-articleLarge.jpg,Technology,"The image features an Apple store in a mall with people looking at phones and computers, indicating that it falls under the Technology category."
HFO-TIKTOKDELAY-lmhq-articleLarge.jpg,Technology,"The image shows a crowded street with people holding banners and signs, a prominent figure speaking at a podium. This suggests that the event may be related to technology or innovation."
12trump-news-tariffs-exemptions2-fzwh-articleLarge.jpg,Technology,"The image shows an Apple store or kiosk in a city center, featuring a large Apple logo and people walking by"
31icepeak-vbgq-articleLarge.jpg,World,"The image depicts two individuals with angel wings and Adidas tracksuits, indicating that it may be related to the fashion or pop culture industry."
18int-cambodia-xi-01-cljk-articleLarge.jpg,World,"The image depicts a formal ceremony or event involving military personnel and dignitaries, suggesting international relations or global events"
dc-pardons20-articleLarge.jpg,World,"The image depicts a protest or demonstration in a foreign country, as evidenced by the street signs and attire of the individuals involved."
14earthmetals-explainer-fkbc-articleLarge.jpg,World,"The image depicts a crowded street scene with people holding banners and signs, indicating a public gathering or protest related to global issues"
00myanmar-scam-centers-bztc-articleLarge.jpg,Business,"The image depicts an urban landscape with a large building in the background and a body of water in front, suggesting a business or commercial area"
00dc-scotus-pjfl-articleLarge.jpg,Business,The warehouse in the background and the pallets stacked high suggest an industrial or logistical setting
25cul-trump-portrait-artist-articleLarge.jpg,World,The image depicts an oil portrait of Donald Trump in a formal setting
15scotus-tiktok-arguments-VERSION-fkqb-articleLarge.jpg,World,"The image depicts a large group of people gathered outside the Supreme Court building in Washington D.C., suggesting that it may be related to a significant international event or protest"
27dc-patel1-vfgq-articleLarge.jpg,World,"The image depicts a crowded street with people holding banners and signs, indicating a protest or demonstration."
europe-ukraine-01-jbcg-articleLarge.jpg,World,"The image depicts a group of people in suits and ties standing on a red carpeted staircase, with flags from various countries visible behind them. This suggests an international conference or diplomatic event."
11biz-trade-explainer-pqjh-articleLarge.jpg,World,"A large cargo ship in an industrial harbor, suggesting international trade and commerce"
12neh-1-hpfj-articleLarge.jpg,World,A protest march against social and economic inequality.
00ukraine-trump-minerals-01-jfwt-articleLarge.jpg,World,"The image depicts a scene of global significance, with a prominent figure addressing a large crowd, suggesting an event or meeting that has international implications."
08biz-lawfirms-trump-01-fhmj-articleLarge.jpg,World,"The image depicts a busy street scene with people holding signs and banners, suggesting a protest or public gathering"
pol-ironrange-video-promo-articleLarge.jpg,Arts,"The image depicts a statue in a park setting, indicating an artistic or cultural theme"
04dc-trump-iran-wvkl-articleLarge.jpg,World,"The image depicts a crowded street scene with people holding banners and signs, suggesting a public event or protest related to global issues"
12dc-trump-topart-jmfl-articleLarge.jpg,World,"The image depicts a crowd gathered around a stage or podium, suggesting a public event or gathering that transcends local boundaries"
07Biz-China-Tsunami-pltw-articleLarge.jpg,World,"The image depicts a large factory setting with workers and machinery in the background, suggesting an industrial or manufacturing environment"
12int-ukraine-europe-01-qbck-articleLarge.jpg,Arts,"The image depicts a crowded street scene with people holding banners and signs, suggesting a protest or demonstration related to art or culture"
00russia-kursk-01-qhkj-articleLarge.jpg,World,"The image depicts an armored vehicle driving through a flooded area, indicating that it's related to global or international events"
25dc-hegseth-jvlw-articleLarge.jpg,World,A crowded street with people holding banners and signs indicates that this event or protest has attracted a large number of participants from around the world.
00China-hospitals-04-lzjv-articleLarge.jpg,World,"The image depicts a busy street scene in an Asian country, with people dressed in traditional attire and holding banners, indicating cultural or religious events"
04latenight-articleLarge.jpg,World,"The image depicts a man sitting at a desk in front of an office window, suggesting that he may be a world leader or someone who works in a global setting"
NVIDIA-EARNINGS-1-pwjm-articleLarge.jpg,Technology,"The image shows a large screen displaying the Nvidia logo and text, indicating that it is related to technology"
00biz-amazon-sellers1-wghf-articleLarge.jpg,World,"The image depicts people holding banners and signs, indicating that it is related to current events or social issues."
21ukraine-nkorea-03-hljt-articleLarge.jpg,World,"A soldier in camouflage uniform and helmet stands beside an artillery gun, indicating military activity"
00biz-japan-tariffs-01-kbgm-articleLarge.jpg,Business,"The image shows Toyota's CEO, Akio Toyoda, speaking at an event in front of several cars, indicating that the section is related to business"
31dc-trade-barriers-bkvm-articleLarge.jpg,World,"The image depicts a large cargo ship in a crowded port, surrounded by numerous other ships and containers, indicating global trade and commerce"
09Tiktok-global-gpfh-articleLarge.jpg,World,"The image depicts a crowded street scene with people holding banners and signs, suggesting that it captures a worldwide event or issue."
